time,loc,locOrig
16-May-2021 18:17:00,"אשדוד","אשדוד - א,ב,ד,ה"
16-May-2021 18:17:00,"אשדוד","אשדוד - יא,יב,טו,יז,מרינה"
16-May-2021 18:17:00,"משען","משען"
16-May-2021 18:17:00,"בית שקמה","בת הדר"
16-May-2021 18:17:00,"ניר ישראל","ניר ישראל"
16-May-2021 18:17:00,"כפר סילבר","כפר סילבר"
16-May-2021 18:17:00,"אשקלון","אשקלון"
16-May-2021 18:17:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
16-May-2021 18:17:00,"ברכיה","ברכיה"
16-May-2021 18:17:00,"אשקלון","אזור תעשייה צפוני אשקלון"
16-May-2021 18:17:00,"באר גנים","באר גנים"
16-May-2021 18:17:00,"ביצרון","ביצרון"
16-May-2021 18:17:00,"בית עזרא","בית עזרא"
16-May-2021 18:17:00,"עזר","עזר"
16-May-2021 18:17:00,"שדה עוזיהו","שדה עוזיהו"
16-May-2021 18:17:00,"אמונים","אמונים"
16-May-2021 18:17:00,"ניצנים","ניצנים"
16-May-2021 18:17:00,"גן יבנה","גן יבנה"
16-May-2021 18:17:00,"חצור","חצור"
16-May-2021 18:17:00,"גבעתי","גבעתי"
16-May-2021 18:17:00,"עזריקם","עזריקם"
16-May-2021 18:06:00,"נירים","נירים"
16-May-2021 18:06:00,"עין השלושה","עין השלושה"
16-May-2021 18:06:00,"כיסופים","כיסופים"
16-May-2021 17:55:00,"כיסופים","כיסופים"
16-May-2021 17:54:00,"כרם שלום","כרם שלום"
16-May-2021 17:50:00,"רעים","רעים"
16-May-2021 17:11:00,"סופה","סופה"
16-May-2021 16:59:00,"סופה","סופה"
16-May-2021 16:35:00,"כרם שלום","כרם שלום"
16-May-2021 16:28:00,"כרם שלום","כרם שלום"
16-May-2021 16:15:00,"באר שבע","באר שבע - דרום"
16-May-2021 16:15:00,"באר שבע","באר שבע - מערב"
16-May-2021 16:14:00,"רעים","רעים"
16-May-2021 16:12:00,"באר שבע","באר שבע - דרום"
16-May-2021 16:12:00,"ואדי אל נעם","ואדי אל נעם"
16-May-2021 16:12:00,"באר שבע","באר שבע - מערב"
16-May-2021 16:12:00,"באר שבע","באר שבע - צפון"
16-May-2021 16:12:00,"באר שבע","באר שבע - מזרח"
16-May-2021 16:12:00,"דימונה","אבו-תלול והפזורה"
16-May-2021 16:12:00,"שגב-שלום","שגב שלום והפזורה"
16-May-2021 16:12:00,"לקיה","לקיה והפזורה"
16-May-2021 16:11:00,"תל שבע","אום בטין והפזורה"
16-May-2021 16:11:00,"מולדה, אל-סייד והפזורה","מולדה, אל-סייד והפזורה"
16-May-2021 16:11:00,"באר שבע","באר שבע - מערב"
16-May-2021 16:11:00,"באר שבע","באר שבע - צפון"
